report_date,location,value
3/26/16,Argentina-Tierra_del_Fuego,0
3/26/16,Argentina-Tierra_del_Fuego,0
3/26/16,Argentina-Tierra_del_Fuego,0
3/26/16,Argentina-Tierra_del_Fuego,0
3/26/16,Argentina-Tierra_del_Fuego,0
3/26/16,Argentina-Tucuman,0
3/26/16,Argentina-Tucuman,0
3/26/16,Argentina-Tucuman,0
3/26/16,Argentina-Tucuman,0
3/26/16,Argentina-Tucuman,36
3/26/16,Argentina-Tucuman,0
4/2/16,Argentina-Buenos_Aires,0
4/2/16,Argentina-Buenos_Aires,0
4/2/16,Argentina-Buenos_Aires,2
4/2/16,Argentina-Buenos_Aires,1
4/2/16,Argentina-Buenos_Aires,173
4/2/16,Argentina-Buenos_Aires,14
4/2/16,Argentina-CABA,0
4/2/16,Argentina-CABA,0
4/2/16,Argentina-CABA,9
4/2/16,Argentina-CABA,0
4/2/16,Argentina-CABA,83
4/2/16,Argentina-CABA,2
4/2/16,Argentina-Catamarca,0
4/2/16,Argentina-Catamarca,0
4/2/16,Argentina-Catamarca,0
4/2/16,Argentina-Catamarca,0
4/2/16,Argentina-Catamarca,15
4/2/16,Argentina-Catamarca,0
4/2/16,Argentina-Chaco,0
4/2/16,Argentina-Chaco,0
4/2/16,Argentina-Chaco,0
4/2/16,Argentina-Chaco,0
4/2/16,Argentina-Chaco,54
4/2/16,Argentina-Chaco,1
4/2/16,Argentina-Chubut,0
4/2/16,Argentina-Chubut,0
4/2/16,Argentina-Chubut,1
4/2/16,Argentina-Chubut,0
4/2/16,Argentina-Chubut,5
4/2/16,Argentina-Chubut,0
4/2/16,Argentina-Cordoba,1
4/2/16,Argentina-Cordoba,0
4/2/16,Argentina-Cordoba,2
4/2/16,Argentina-Cordoba,0
4/2/16,Argentina-Cordoba,23
4/2/16,Argentina-Cordoba,0
4/2/16,Argentina-Corrientes,0
4/2/16,Argentina-Corrientes,0
4/2/16,Argentina-Corrientes,2
4/2/16,Argentina-Corrientes,0
4/2/16,Argentina-Corrientes,18
4/2/16,Argentina-Corrientes,0
4/2/16,Argentina-Entre_Rios,0
4/2/16,Argentina-Entre_Rios,0
4/2/16,Argentina-Entre_Rios,0
4/2/16,Argentina-Entre_Rios,0
4/2/16,Argentina-Entre_Rios,30
4/2/16,Argentina-Entre_Rios,0
4/2/16,Argentina-Formosa,0
4/2/16,Argentina-Formosa,0
4/2/16,Argentina-Formosa,0
4/2/16,Argentina-Formosa,0
4/2/16,Argentina-Formosa,9
4/2/16,Argentina-Formosa,0
4/2/16,Argentina-Jujuy,0
4/2/16,Argentina-Jujuy,0
4/2/16,Argentina-Jujuy,0
4/2/16,Argentina-Jujuy,0
4/2/16,Argentina-Jujuy,353
4/2/16,Argentina-Jujuy,1
4/2/16,Argentina-La_Pampa,0
4/2/16,Argentina-La_Pampa,0
4/2/16,Argentina-La_Pampa,0
4/2/16,Argentina-La_Pampa,0
4/2/16,Argentina-La_Pampa,2
4/2/16,Argentina-La_Pampa,0
4/2/16,Argentina-La_Rioja,0
4/2/16,Argentina-La_Rioja,0
4/2/16,Argentina-La_Rioja,0
4/2/16,Argentina-La_Rioja,0
4/2/16,Argentina-La_Rioja,3
4/2/16,Argentina-La_Rioja,0
4/2/16,Argentina-Mendoza,0
4/2/16,Argentina-Mendoza,0
4/2/16,Argentina-Mendoza,1
4/2/16,Argentina-Mendoza,0
4/2/16,Argentina-Mendoza,15
4/2/16,Argentina-Mendoza,0
4/2/16,Argentina-Misiones,0
4/2/16,Argentina-Misiones,0
4/2/16,Argentina-Misiones,0
4/2/16,Argentina-Misiones,0
4/2/16,Argentina-Misiones,6
4/2/16,Argentina-Misiones,0
4/2/16,Argentina-Neuquen,0
4/2/16,Argentina-Neuquen,0
4/2/16,Argentina-Neuquen,0
4/2/16,Argentina-Neuquen,0
4/2/16,Argentina-Neuquen,19
4/2/16,Argentina-Neuquen,0
4/2/16,Argentina-Rio_Negro,0
4/2/16,Argentina-Rio_Negro,0
4/2/16,Argentina-Rio_Negro,0
4/2/16,Argentina-Rio_Negro,0
4/2/16,Argentina-Rio_Negro,6
4/2/16,Argentina-Rio_Negro,0
4/2/16,Argentina-Salta,0
4/2/16,Argentina-Salta,0
4/2/16,Argentina-Salta,0
4/2/16,Argentina-Salta,0
4/2/16,Argentina-Salta,68
4/2/16,Argentina-Salta,2
4/2/16,Argentina-San_Juan,0
4/2/16,Argentina-San_Juan,0
4/2/16,Argentina-San_Juan,0
4/2/16,Argentina-San_Juan,0
4/2/16,Argentina-San_Juan,0
4/2/16,Argentina-San_Juan,0
4/2/16,Argentina-San_Luis,0
4/2/16,Argentina-San_Luis,0
4/2/16,Argentina-San_Luis,0
4/2/16,Argentina-San_Luis,0
4/2/16,Argentina-San_Luis,9
4/2/16,Argentina-San_Luis,0
4/2/16,Argentina-Santa_Cruz,0
4/2/16,Argentina-Santa_Cruz,0
4/2/16,Argentina-Santa_Cruz,0
4/2/16,Argentina-Santa_Cruz,0
4/2/16,Argentina-Santa_Cruz,9
4/2/16,Argentina-Santa_Cruz,0
4/2/16,Argentina-Santa_Fe,0
4/2/16,Argentina-Santa_Fe,0
4/2/16,Argentina-Santa_Fe,0
4/2/16,Argentina-Santa_Fe,0
4/2/16,Argentina-Santa_Fe,17
